mouseNum,sex,pgm,chitau,ontau,tauoff,phase,amp,act,alpha,sdon,offsd,onoff,slop,D1Mit3,D1Mit22,D1Mit44,D1Mit33,D1Mit17,D2Mit1,D2Mit365,D2Mit56,D2Mit43,D2Mit48,D2Mit230,D3Mit131,D3Mit6,D3Mit11,D3Mit17,D3Mit162,D3Mit19,D4Mit1,D4Mit105,D4Mit108,D4Mit53,D4Mit139,D4Mit178,D4Mit27,D4Mit31,D4Mit203,D4Mit131,D5Mit73,D5Mit11,D5Mit135,D5Mit309,D5Mit398,D5Mit188,D5Mit95,D5Mit30,D5Mit98,D5Mit223,D6Mit1,D6Mit74,D6Mit19,D6Mit39,D6Mit15,D7Mit152,D7Mit25,D7Mit30,D7Mit68,D7Mit46,D8Mit58,D8Mit4,D8Mit25,D8Mit84,D8Mit47,D8Mit200,D8Mit13,D8Mit14,D8Mit42,D9Mit2,D9Mit4,D9Mit11,D9Mit37,D10NDs1,D10Mit51,D10Mit86,D10Mit170,D10Mit31,D10Mit10,D10Mit14,D10Mit233,D10Mit264,D11Mit2,D11Mit5,D11Mit59,D11Mit168,D12Mit81,D12Mit46,D12Mit236,D12Mit251,D12Mit71,D12Mit74,D12Mit5,D12Mit205,D12Mit260,D12Mit7,D12Mit195,D12Mit122,D12Mit150,vip,D12Mit263,D12Mit18,D13Mit13,D13Mit30,D13Mit53,D13Mit151,D14Mit14,D14Mit28,D14Mit7,D14Mit9,D14Mit34,D14Mit228,D15Mit53,D15Mit28,D15Mit35,D16Mit9,D16Mit4,D16Mit27,D16Mit106,D17Mit18,D17Mit6,D17Mit39,D18Mit18,D18Mit17,D18Mit40,D18Mit4,D19Mit93,D19Mit68,D19Mit28,D19Mit40,D19Mit46,D19Mit11,D19Mit1,D19Mit71,DXMit27,DXMit22,DXMit79,DXMit20
126,0,0,23.07,23.01,22.97,-0.45,21.71,40183,9.48,0.56,1.35,0.415,1,B,H,B,H,A,H,A,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,B,B,B,B,B,B,B,B,H,H,H,H,-,A,A,A,A,A,H,H,H,B,-,B,H,H,H,B,B,H,H,A,A,A,A,H,H,H,H,H,B,-,H,H,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,B,B,A,A,H,B,B,B,B,B,H,H,B,B,H,-,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
127,0,0,-,23.43,23.86,-0.91,1.21,2123,23.87,0.6,1.35,0.444,3,H,H,B,A,A,A,H,H,H,H,H,A,A,H,H,H,H,B,B,B,H,B,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,A,A,A,A,-,H,B,H,H,H,A,A,A,A,-,H,H,H,B,B,B,B,B,A,A,A,H,H,H,B,H,B,A,H,H,H,A,A,A,A,A,A,A,A,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,A,-,H,A,B,B,H,-,-,H,H,H,H,H,H,H,H,A,H,H,H,H
128,0,0,23.12,23.19,23.34,-1.7,17.2,32328,11.33,1.1,1.14,0.965,0,B,B,B,H,B,B,H,H,H,H,H,A,H,H,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,H,H,H,H,H,H,A,-,B,H,H,H,H,A,A,A,A,A,A,A,A,A,B,B,B,B,H,H,H,B,H,B,B,B,B,H,H,A,A,A,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,H,B,H,H,H,H,H,H,H,H,A,A,A,B,H,A,A,B,B,H,B,B,A,A,A,A,A,A,A,A,A,H,A,H,H,A
129,0,0,23.37,23.28,23.4,-0.91,19.12,50693,11.05,0.49,0.77,0.636,2,A,H,A,H,H,H,H,H,B,H,H,H,H,H,B,B,B,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,-,A,A,A,A,H,H,H,H,-,H,A,A,A,H,A,A,A,A,A,A,A,A,A,B,B,B,B,B,-,B,B,B,H,A,H,A,H,H,H,H,H,H,H,H,H,H,H,-,-,A,A,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H,H,A,A,H,A,A,H,A,H,H,A,A,A,H,H,H,H,H,H,B,H,H,H,H,H
130,0,0,23.95,23.86,24.04,-1.59,19.57,69949,15.82,0.4,1.41,0.284,3,A,A,A,A,A,A,A,B,B,B,H,H,H,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,-,B,B,B,H,A,H,B,B,B,-,B,B,B,B,B,B,H,A,B,B,B,B,B,B,B,B,B,A,H,H,H,H,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,H,H,-,H,A,A,A,A,A,A,H,B,B,H,H,H,H,H,H,H,H,B,B,H,B,B,B,B,B,B,B,B,A,A,A,A
131,0,0,24,24.12,23.98,0.45,21.25,62663,15.3,0.17,0.92,0.185,0,B,B,H,H,H,H,A,A,H,H,H,B,B,A,H,H,H,H,H,H,H,H,H,B,B,B,B,H,B,B,B,B,B,B,B,B,B,A,A,A,A,-,B,B,B,H,H,H,A,A,A,A,H,H,H,H,H,H,H,H,A,A,A,A,H,B,B,B,B,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,A,H,H,A,H,B,B,H,H,-,H,H,H,H,B,H,H,H,B,B,B,B,H,H,H,H,H,A,A,H
132,0,0,24.22,24.19,24.11,1.14,10.06,40108,15.03,0.28,0.54,0.519,0,A,H,A,H,B,H,H,H,H,H,H,H,B,B,B,H,H,B,B,B,B,B,B,B,B,H,H,H,A,A,A,A,-,H,A,H,A,B,H,H,A,-,H,H,H,A,A,A,A,A,A,A,A,H,H,H,B,B,H,H,B,B,B,B,H,H,H,H,H,A,A,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,A,H,B,H,H,B,H,B,H,H,H,H,A,A,H,H,H,H,H,B,B,B,A,A,A,A
133,0,0,23.38,23.52,23.84,-1.93,2.37,11278,19.26,1.06,1.12,0.946,3,B,H,B,B,A,H,H,B,B,B,B,B,H,H,H,B,B,B,B,B,B,B,B,A,A,A,A,A,H,H,H,H,H,H,H,H,B,B,B,B,B,-,A,H,H,B,B,B,H,B,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,B,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,A,A,H,A,H,H,H,B,B,B,B,B,B,H,H,H,A,A,A,A,A,H,H,H,H,A
134,0,0,23.68,23.69,23.98,1.93,13.97,53395,16.76,0.41,3.33,0.123,3,A,H,A,H,H,H,B,B,B,B,H,A,A,A,B,B,B,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,-,H,H,H,A,A,H,H,H,H,-,A,A,A,A,A,H,B,B,H,H,-,H,H,H,H,H,H,H,B,H,H,H,B,B,B,B,B,B,B,-,B,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,B,B,H,H,H,H,B,B,B,B,B,B,H,H,A,A,A,A
135,0,0,23.75,23.84,23.87,0.23,4.99,47847,16.89,0.9,1.22,0.738,0,B,A,H,A,H,H,A,H,H,H,H,B,B,B,B,H,H,H,H,A,A,A,A,A,A,A,A,H,H,A,A,A,A,A,A,A,B,A,H,H,H,-,H,H,A,H,H,A,A,A,A,A,A,H,H,H,B,H,A,A,B,B,B,A,H,H,H,H,H,B,H,H,H,H,H,H,H,-,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,B,H,H,A,H,H,H,B,A,H,H,B,B,H,A,A,H,A,A,H,H,H,B,B,B,B,B,H,A,A,A,A
136,0,0,24,24.01,24.17,-0.34,18.42,48522,15.37,0.27,2.18,0.124,0,H,H,H,H,H,H,H,H,A,H,H,H,H,H,B,B,H,H,H,H,H,A,A,A,A,H,H,H,H,H,H,H,-,A,A,H,H,H,H,-,B,-,H,H,A,A,H,H,H,H,H,-,H,H,H,H,B,B,H,H,B,B,B,H,H,H,H,H,H,A,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,B,B,B,B,H,H,A,H,H,A,A,B,A,B,B,H,H,H,H,A,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A
137,1,0,23.6,23.52,23.56,0.11,20.27,33547,10.22,0.5,0.84,0.595,0,B,B,B,B,H,H,H,B,H,H,B,H,H,A,A,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,-,H,H,H,H,H,H,H,H,-,B,B,B,H,A,A,H,H,H,-,B,B,B,B,B,B,B,B,H,H,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,A,A,A,A,A,A,H,B,H,H,H,H,H,B,B,H,A,A,A,H,H,H,H,H,B,B,H,H,A,A,B,B
138,1,0,23.68,23.67,23.8,-0.11,15.56,28014,12.29,0.51,0.91,0.56,0,B,H,B,H,B,H,A,A,H,H,H,H,A,A,B,B,B,H,H,H,H,H,H,B,B,H,H,B,B,H,H,H,H,H,H,A,A,H,H,H,H,-,H,H,H,H,B,H,H,H,H,-,H,H,H,H,A,A,B,B,H,H,H,H,A,A,H,A,A,H,H,H,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,B,B,B,H,B,B,B,B,B,H,H,H,H,H,H,H,A,A,A,H,H,H,H,H,H,H,H,H,B,A,A,B
139,1,0,23.13,23.06,23.07,-0.91,13.4,37402,11.16,1.03,0.81,1.272,1,B,H,B,A,A,B,B,B,B,B,B,H,B,B,H,H,H,B,B,B,B,B,B,H,H,A,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,A,A,B,H,H,H,-,H,B,B,B,H,H,H,H,B,B,B,B,A,H,H,H,H,A,A,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,B,B,H,B,B,H,H,B,A,A,H,B,A,A,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A
140,1,0,23.85,23.85,23.64,0.23,8.84,27177,15.24,0.9,0.87,1.034,2,B,B,B,H,H,B,B,H,A,A,A,H,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,H,H,H,H,H,-,B,B,H,H,H,H,H,B,H,-,A,A,A,A,H,H,A,A,B,H,H,A,A,H,B,H,H,A,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,B,H,H,H,H,H,H,A,A,A,H,H,H,A,A,H,H,B,B,B,B,B,B,H,H,B,B,B,B
141,1,0,23.6,23.65,23.84,-4.09,5.84,33097,17.5,0.9,2.3,0.391,4,A,A,A,A,A,B,H,H,H,B,H,B,B,H,H,H,H,B,B,B,B,B,H,H,H,A,A,A,A,A,A,A,-,B,B,B,B,H,B,B,B,-,A,A,H,H,H,B,H,B,B,-,H,H,H,H,A,A,H,H,A,A,A,A,A,H,H,H,H,B,-,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,B,H,H,H,H,H,H,B,H,B,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,B,B,B,B
142,1,0,-,23.97,23.72,-6.37,1.06,-,15.16,0.57,1.89,0.302,3,H,H,B,B,H,H,B,H,H,A,H,A,A,A,B,B,B,H,H,H,H,A,A,A,A,A,A,B,B,H,H,H,H,H,H,H,H,B,B,A,A,-,A,A,A,A,B,H,H,H,H,-,H,B,B,B,H,H,H,H,H,H,H,H,H,A,A,A,A,A,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,A,A,H,A,H,H,A,H,B,B,B,H,A,H,H,B,H,H,A,A,H,H,H,H,H,H,A,B,B,B
143,1,0,23.92,23.79,23.84,0.91,1.27,12085,13.99,0.75,0.72,1.042,0,A,A,A,A,H,B,H,A,A,A,H,A,H,B,B,B,B,H,H,H,H,H,H,H,H,H,B,B,B,A,A,A,A,A,A,A,A,B,H,H,H,-,B,H,H,H,H,B,H,H,H,-,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,A,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,H,H,A,A,B,B,B,H,B,B,H,B,A,A,A,A,A,H,A,H,H,H,A,A,A,A,A,H,H,H,H,H,A,A,A,A
144,1,0,23.43,23.4,23.66,-1.14,7.84,23763,15.77,1.02,0.72,1.417,0,H,B,H,B,B,H,H,H,H,H,B,H,H,H,H,H,H,B,B,H,H,H,H,A,A,A,H,H,B,B,B,B,B,B,B,B,B,A,A,H,H,-,H,H,A,A,A,H,H,H,H,-,H,H,H,H,B,B,B,B,H,H,H,B,A,B,B,B,B,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,B,B,B,H,H,H,H,B,B,-,H,H,B,B,B,B,A,A,H,H,H,H,B,B,B,A,A,B
145,1,0,23.65,23.55,23.76,-0.11,8.5,21789,14.72,1.05,1.05,1,1,A,A,A,H,B,B,H,H,H,H,H,A,H,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,H,A,A,H,-,A,A,A,A,B,H,H,H,-,A,A,A,A,H,A,A,H,H,-,B,B,B,B,H,H,H,H,A,A,A,A,B,A,A,A,A,H,B,A,A,B,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,A,B,B,B,A,B,B,H,B,B,H,B,A,H,H,H,A,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,A,A,B,B
146,1,0,23.32,23.16,23.32,-0.64,9.66,31257,15.21,0.78,0.82,0.951,1,H,H,H,B,H,H,H,H,B,B,B,H,A,A,H,H,H,B,B,B,B,B,B,A,A,A,A,B,H,H,B,B,B,B,B,B,B,H,H,A,A,-,B,H,H,H,H,H,H,A,A,A,A,A,A,A,H,H,H,H,H,H,B,B,A,B,B,B,B,B,A,A,A,H,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,B,B,-,H,H,B,H,A,B,H,H,A,H,H,H,H,H,A,A,A,H,H,H,B,H,H,H,H,H,H,H,H,A,A,A,A
147,1,0,23.28,23.26,23.45,-0.41,7.42,28710,15.63,0.34,1.33,0.256,0,A,A,A,B,B,B,A,A,A,H,B,B,B,B,H,H,H,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,B,B,H,H,A,H,H,A,H,-,H,H,H,H,H,H,B,B,A,A,A,A,B,H,H,H,H,H,A,A,A,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,H,-,B,A,A,A,H,A,A,H,H,A,H,H,H,H,A,A,A,A,A,A,H,H,H,H,H,H,-,H,H,B,B,B,B
148,1,0,23.88,23.82,23.82,0.34,9.65,32234,14.79,0.42,0.9,0.467,0,H,A,H,A,A,H,H,B,B,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,-,A,A,A,A,H,H,H,H,-,B,H,H,H,B,A,B,H,H,-,H,H,H,H,B,B,H,H,H,H,A,A,H,H,B,H,B,A,-,H,H,B,B,B,B,B,B,B,B,B,B,H,A,A,A,A,A,B,A,-,A,A,A,A,A,A,H,H,H,H,H,H,H,H,B,B,H,A,H,H,H,H,-,A,A,A,A,A,H,A,A,A,A
149,1,0,23.83,23.76,23.67,0.23,6.81,23092,16,0.35,2.29,0.153,0,H,A,H,H,B,H,H,H,H,H,B,B,A,A,A,A,A,H,H,A,A,A,A,A,A,H,H,H,H,H,H,H,-,A,A,A,A,B,B,B,B,-,H,H,H,B,B,A,H,A,A,A,A,A,A,A,B,B,H,H,A,A,A,A,A,A,H,A,H,A,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,B,H,-,H,-,H,H,H,H,H,H,B,H,A,H,H,B,B,B,B,H,H,H,H,A,A,A,A,A,-,H,B,A,H,A,A
150,1,0,23.58,23.55,23.59,0,11.61,36816,12.35,0.69,1,0.69,0,B,B,B,A,A,H,H,A,A,A,A,H,H,H,A,A,A,H,H,H,H,H,H,H,H,H,A,H,H,A,A,A,A,A,A,A,A,H,H,-,H,-,H,H,H,H,H,H,B,H,B,-,B,B,B,B,B,B,B,B,A,A,A,H,H,H,H,H,H,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,B,H,B,A,A,A,H,H,H,H,H,H,B,B,A,A,A,A,H,H,H,H,B,B,B,B
151,0,0,23.2,23.14,23.3,-1.36,10.77,40281,11.12,0.81,0.89,0.91,2,H,B,H,B,H,H,H,H,H,B,B,H,A,H,H,H,H,H,H,H,H,H,H,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,-,B,-,A,A,A,A,A,B,B,H,H,-,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,H,B,B,B,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,B,B,A,A,A,H,A,A,H,H,H,H,H,H,H,H,H,B,B,B,B,B,A,A,A,A,A,A,H,B,A,A,A,A
152,0,0,23.75,23.78,24.27,0.23,4.97,41711,16.46,0.49,1.33,0.368,3,H,A,H,H,B,H,H,H,H,H,H,-,B,B,B,B,H,H,H,H,H,H,H,H,B,H,H,B,B,B,B,B,-,H,H,H,H,H,H,-,A,-,H,H,H,B,B,B,B,H,H,-,H,H,H,H,B,H,B,B,A,A,H,H,H,H,H,H,H,B,-,B,B,H,H,B,B,B,-,B,B,-,B,B,B,B,B,B,B,H,H,H,H,B,B,B,B,B,B,H,H,H,H,H,B,B,-,A,A,A,A,A,A,H,H,A,A,A,A,A,A,A,A,H,H
153,0,0,23.83,23.83,24.3,0.11,3.79,48465,16.9,0.39,1.62,0.241,5,B,H,B,H,H,H,A,A,A,A,A,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,H,H,H,A,A,H,-,A,A,A,H,-,H,H,B,B,-,B,H,H,H,B,B,B,B,B,B,B,H,A,A,H,A,H,H,-,H,H,H,B,B,B,H,B,B,B,B,H,H,H,-,-,A,A,H,A,A,A,A,H,H,B,H,H,B,H,B,A,A,A,A,B,B,H,H,B,B,A,H,H,H,H,H,H,H,H,B,B,A,B
154,0,0,24.08,24.02,24.18,-1.14,10.27,42926,16.3,0.27,1.09,0.248,0,B,H,B,A,H,H,H,-,A,H,B,H,H,B,B,B,B,H,H,H,H,A,A,A,A,A,A,H,B,B,B,B,B,B,B,B,B,-,H,A,-,-,-,A,-,H,-,B,H,B,H,-,H,H,H,H,-,B,B,H,-,A,A,A,A,A,H,A,H,H,H,B,B,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,H,H,H,-,H,-,A,-,H,H,A,A,H,-,B,B,H,H,H,H,B,A,-,-,H,H
155,0,0,23.4,23.13,22.82,-0.8,10.69,38656,17.17,2.25,1.88,1.197,4,H,H,H,H,A,H,-,B,B,B,B,A,-,H,-,A,A,H,H,H,H,H,H,B,B,B,A,B,B,B,B,B,B,B,B,H,H,H,H,A,A,-,B,A,H,H,H,A,B,B,H,-,H,H,H,H,H,H,H,B,A,A,A,A,A,A,B,A,B,B,H,A,A,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,-,H,H,H,B,B,H,B,H,A,A,H,H,A,H,H,H,H,A,A,A,A,H,H,H,H,A,A,A,A,H,H,H,H
156,0,0,23.98,23.94,24.32,-1.14,8.24,44423,15.88,0.58,1.51,0.384,0,B,H,B,H,B,H,H,A,H,H,A,A,H,H,H,H,H,B,B,B,B,B,B,B,H,H,H,A,A,A,A,A,A,A,A,A,A,-,H,H,-,-,H,H,B,B,B,H,H,B,B,-,B,B,B,B,H,H,H,B,A,A,A,H,H,H,B,H,B,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,A,A,A,H,A,A,H,H,B,B,H,B,B,H,H,H,H,H,H,H,A,A,H,H,H,H,B,B,H,H,A,A
157,0,0,23.65,23.65,23.83,0.34,4.7,41784,16.32,0.27,1.57,0.172,0,B,B,B,B,H,H,H,H,H,H,H,H,-,A,-,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,B,B,H,H,-,H,A,A,H,H,A,B,B,H,-,H,H,H,H,B,B,B,H,H,B,H,A,H,H,H,H,H,B,-,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,H,H,H,H,H,H,H,B,B,B,B,B,A,H,A,A,H,H,A,A,H,H,H,H,H,H,H,B,A,A,A,A
158,0,0,23.7,23.78,23.59,-0.11,20.4,34847,8,1.12,1.35,0.83,0,B,B,B,A,H,H,H,B,B,H,A,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,H,B,H,H,H,H,H,H,H,H,H,H,H,B,B,-,H,H,B,H,H,H,A,H,H,-,H,H,H,B,B,B,B,H,A,A,A,A,H,H,H,H,H,H,H,H,H,A,A,A,A,H,H,H,H,H,H,H,H,B,B,B,B,H,-,-,H,H,-,A,A,A,A,A,H,H,H,H,H,H,A,A,A,H,H,H,A,H,H,H,H,B,B,B,B,A,A,A,A
159,0,0,23.8,23.79,23.79,-0.45,9.04,50461,17.87,0.33,1.39,0.237,2,H,H,H,A,H,H,H,H,H,H,A,H,H,A,A,A,A,A,A,A,A,A,A,H,H,B,B,H,H,H,H,H,-,B,B,B,B,B,B,B,B,-,H,H,H,H,H,B,A,H,H,-,H,A,A,A,B,-,H,-,H,H,H,H,H,H,H,H,H,-,H,H,H,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,A,A,B,A,A,H,H,H,H,H,H,H,A,A,A,A,A,A,A,H,H,H,A,H,H,B
160,1,0,24.02,23.9,23.99,-0.8,8.36,41919,17.31,0.19,1.73,0.11,0,H,H,H,H,A,H,H,H,B,B,H,B,B,B,H,H,H,H,H,H,H,H,H,B,B,B,H,A,A,A,A,A,A,A,A,A,H,H,B,B,B,-,A,H,B,B,B,A,A,H,H,-,H,B,B,B,A,-,H,-,B,B,B,B,B,B,B,B,B,H,-,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,H,A,A,A,A,A,A,B,B,H,H,H,H,H,H,B,B,A,A,H,H,B,B,H,H,A,A,A,A,B,A,A,A
161,0,0,23.82,23.82,23.8,0.11,20.7,43923,12.68,0.17,0.98,0.173,0,H,H,H,B,B,H,H,H,A,H,H,B,H,A,H,H,H,H,B,H,H,-,H,H,H,H,H,A,A,A,A,A,-,H,H,H,A,-,A,A,H,-,H,H,H,B,B,H,H,B,B,-,B,B,B,B,H,H,H,H,H,H,H,H,H,A,A,A,A,H,B,H,A,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,-,H,H,B,-,B,H,B,H,H,H,H,H,B,B,A,H,H,B,B,H,A,A,H,H,H,H,A,H,H,H,A,H,H,H
162,0,0,23.42,23.37,23.44,0,16.35,29032,12.92,0.31,1.59,0.195,0,H,H,B,B,B,H,H,B,B,B,H,H,B,B,A,H,H,B,B,H,H,B,B,H,H,H,H,A,A,A,A,A,A,A,A,A,A,B,H,H,H,-,B,B,B,B,B,A,A,H,H,-,H,B,B,B,A,A,B,B,H,H,H,H,H,H,B,H,B,B,B,H,H,A,A,A,A,A,A,A,A,H,H,B,B,B,B,B,B,H,H,H,H,H,H,A,H,A,A,H,H,A,A,A,A,A,H,A,A,H,H,H,A,A,A,A,A,A,A,-,B,A,A,A,A
163,0,0,23.62,23.45,23.48,-0.8,6.35,42165,17.65,0.58,1.13,0.513,1,H,H,H,B,B,B,B,H,H,B,B,H,H,B,B,B,B,A,A,A,A,A,A,A,B,B,B,H,H,H,H,H,H,H,H,H,H,B,B,H,H,-,A,H,B,H,H,H,H,A,A,-,H,H,H,H,A,H,H,H,H,H,H,B,B,H,B,B,B,A,B,B,B,A,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,B,B,B,B,H,H,A,H,H,A,H,H,H,B,H,B,H,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,A,A
164,0,0,23.08,22.99,22.64,-1.14,19.48,53299,15.57,1.27,1.72,0.738,1,H,H,H,H,A,B,H,H,H,A,A,-,B,A,A,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,-,H,H,A,H,B,H,H,H,H,-,H,H,H,H,B,B,B,B,H,A,A,A,B,B,B,B,B,A,H,H,H,B,B,B,-,-,B,B,B,-,B,B,B,B,B,B,B,A,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,B,-,A,A,H,H,H,A,A,A,A,A,A,A,H,H,H,H,A
165,0,0,24.68,24.55,24.77,0,13.94,34585,14.58,0.83,0.99,0.838,0,A,A,A,A,A,A,B,A,H,B,B,-,A,H,A,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,H,A,-,-,H,H,B,B,B,-,B,B,B,-,H,B,H,H,H,H,H,H,B,H,-,-,B,B,B,H,H,H,-,B,H,B,B,H,H,H,H,H,H,-,H,A,A,A,A,A,A,A,H,-,B,-,H,H,-,A,H,H,B,B,A,H,-,H,-,H,A,H,A,A,A,H,B,H,H,H,A,A,A,A,H,A,A
166,0,0,24.18,24.19,24.14,0,6.53,58539,16.64,1.01,1.23,0.821,0,H,A,H,A,H,B,-,H,H,H,A,H,H,H,A,A,A,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,-,H,H,H,H,H,H,H,B,-,H,B,B,H,A,H,H,H,A,-,H,H,H,H,H,H,H,H,H,H,H,-,H,B,B,B,B,H,B,B,H,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,A,A,A,H,A,A,A,A,A,H,H,B,H,H,B,B,H,A,A,H,H,H,A,B,B,H,H,H,H,H,H,H,H,A,A
167,0,0,23.98,23.9,24.13,0,2.54,27357,16.96,0.24,0.76,0.316,0,H,H,H,H,B,H,-,H,H,H,B,B,B,B,B,B,B,H,H,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,A,H,H,B,B,-,A,A,H,H,B,-,H,B,B,-,B,B,B,B,H,H,H,H,H,H,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,B,B,B,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,B,H,H,H,B,H,B,H,H,H,A,A,A,H,H,H,H,-,H,A,A,H,H,H,H
168,0,0,22.92,23.2,23.19,-1.14,6.14,51849,20.25,1.68,3.03,0.554,5,H,H,H,A,A,A,-,H,H,A,A,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,H,B,H,H,H,H,H,H,H,H,H,H,-,B,B,-,A,A,A,A,A,B,B,B,B,-,B,B,B,B,H,H,H,H,A,A,A,A,H,A,A,A,A,A,H,H,H,B,B,B,B,-,B,B,B,B,H,H,H,H,H,H,H,A,H,-,H,H,H,H,H,H,H,A,A,H,A,A,H,H,B,B,B,H,B,B,H,H,H,H,H,H,H,H,B,A,A,H,H
169,1,0,24.02,23.98,24.13,-0.34,0.16,32219,17.72,0.69,0.86,0.802,3,H,H,H,B,B,A,-,H,H,H,-,H,H,H,A,A,A,B,B,H,H,H,H,H,H,H,B,A,A,H,H,H,H,H,A,A,A,H,-,H,H,-,A,A,A,A,H,H,H,H,H,-,H,H,H,H,B,B,A,A,H,H,H,A,H,A,A,A,A,H,H,H,H,H,B,B,B,-,B,B,B,B,B,B,B,H,H,H,H,B,A,-,B,H,H,H,H,H,H,H,H,A,H,H,H,B,H,H,B,A,A,A,H,B,B,H,H,H,H,H,H,A,A,A,B
